Net Status Report
Filename     : C:\Users\PC\Desktop\Sourcetree\uz_d_resolver\Resolver.PcbDoc
Date         : 22.12.2022
Time         : 16:56:21
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetQ4C_2, Signal Layers Only, 0mm
    NetR10A_1, Signal Layers Only, 0mm
    NetR10B_1, Signal Layers Only, 0mm
    NetR10C_1, Signal Layers Only, 0mm
    NetR14A_2, Signal Layers Only, 0mm
    NetR14B_2, Signal Layers Only, 0mm
    NetR14C_2, Signal Layers Only, 0mm
    NetR43A_1, Signal Layers Only, 0mm
    NetR43B_1, Signal Layers Only, 0mm
    NetR43C_1, Signal Layers Only, 0mm
    NetR44A_1, Signal Layers Only, 0mm
    NetR44B_1, Signal Layers Only, 0mm
    NetR44C_1, Signal Layers Only, 0mm
    NetR45A_1, Signal Layers Only, 0mm
    NetR45B_1, Signal Layers Only, 0mm
    NetR45C_1, Signal Layers Only, 0mm
    NetR46A_1, Signal Layers Only, 0mm
    NetR46B_1, Signal Layers Only, 0mm
    NetR46C_1, Signal Layers Only, 0mm
    NetR6A_2, Signal Layers Only, 0mm
    NetR6B_2, Signal Layers Only, 0mm
    NetR6C_2, Signal Layers Only, 0mm
    NetR9A_2, Signal Layers Only, 0mm
    NetR9B_2, Signal Layers Only, 0mm
    NetR9C_2, Signal Layers Only, 0mm
    PILOT_IN, Signal Layers Only, 0mm
    PILOT_OUT, Signal Layers Only, 0mm
    SINA, Signal Layers Only, 0mm
    SINB, Signal Layers Only, 0mm
    SINC, Signal Layers Only, 0mm
    SIN_LOA, Signal Layers Only, 0mm
    SIN_LOB, Signal Layers Only, 0mm
    SIN_LOC, Signal Layers Only, 0mm
    VIN, Signal Layers Only, 0mm
    VIN_fused, Signal Layers Only, 0mm
    VREF_Resolver, Signal Layers Only, 0mm
    \Reset_ResolverA, Signal Layers Only, 0mm
    \Reset_ResolverB, Signal Layers Only, 0mm
    \Reset_ResolverC, Signal Layers Only, 0mm
    \Resolver_CSA, Signal Layers Only, 0mm
    \Resolver_CSB, Signal Layers Only, 0mm
    \Resolver_CSC, Signal Layers Only, 0mm
count : 175
